book,chapter,batch_ids,total,auto_approved,flagged,pending_human_review,rejected,flag_rate_%
A Text Book of Astrology,Chapter 15 — Planets in Different Houses: Prediction,a-text-book-ch15-v2-20260414,622,263,224,133,2,36%
Brihat Parashara Hora Shastra,24,bphs-ch24-v2-20260416,376,267,32,77,0,9%
A Text Book of Astrology,General,a-text-book-of-astro_002_20260413 | a-text-book-of-astro_003_20260413 | a-text-book-of-astro_004_20260413 | a-text-book-of-astro_005_20260413 | a-text-book-of-astro_006_20260413 | a-text-book-of-astro_007_20260413 | a-text-book-of-astro_008_20260413 | a-text-book-of-astro_009_20260413 | a-text-book-of-astro_010_20260413 | a-text-book-of-astro_011_20260413 | a-text-book-of-astro_012_20260413,165,18,80,31,36,48%
300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,162,10,102,49,1,63%
Brihat Parashara Hora Shastra,57,bphs-ch57-dasha-20260419,132,105,9,18,0,7%
Brihat Parashara Hora Shastra,56,bphs-ch56-dasha-20260418,124,103,5,16,0,4%
Brihat Parashara Hora Shastra,3 811 2,brihat-parashara-hor_001_20260413,123,12,72,39,0,59%
Brihat Parashara Hora Shastra,58,bphs-ch58-dasha-20260419,104,76,7,21,0,7%
Brihat Parashara Hora Shastra,55,bphs-ch55-dasha-20260417,96,71,5,20,0,5%
Brihat Parashara Hora Shastra,47,bphs-ch47-dasha-20260416,93,76,4,13,0,4%
Brihat Parashara Hora Shastra,52,bphs-ch52-dasha-20260416,93,77,3,13,0,3%
Brihat Parashara Hora Shastra,54,bphs-ch54-dasha-20260417,86,66,3,17,0,3%
Brihat Parashara Hora Shastra,53,bphs-ch53-dasha-20260417 | bphs-ch53-venus-patch-20260417,72,52,4,16,0,6%
Brihat Parashara Hora Shastra,18,bphs-ch18-v2-20260414,55,38,3,14,0,5%
Brihat Parashara Hora Shastra,26 713,brihat-parashara-hor_001_20260413,49,4,25,20,0,51%
Brihat Parashara Hora Shastra,3,bphs-ch3-v1-20260414,48,36,6,6,0,12%
Brihat Parashara Hora Shastra,6-09,brihat-parashara-hor_001_20260413,46,8,27,11,0,59%
Brihat Parashara Hora Shastra,48,bphs-ch48-dasha-20260416,46,34,1,11,0,2%
Brihat Parashara Hora Shastra,17,bphs-ch17-v2-20260414,43,31,4,8,0,9%
Brihat Parashara Hora Shastra,16,bphs-ch16-v2-20260414,41,18,6,17,0,15%
Brihat Parashara Hora Shastra,S:3 L:,brihat-parashara-hor_001_20260413,39,0,28,11,0,72%
Lal Kitab,General,lal-kitab_005_20260413 | lal-kitab_007_20260413 | lal-kitab_016_20260413 | lal-kitab_019_20260413 | lal-kitab_020_20260413 | lal-kitab_023_20260413,38,0,9,3,26,24%
Brihat Parashara Hora Shastra,14,bphs-ch14-v2-20260414,33,19,6,8,0,18%
Brihat Parashara Hora Shastra,20,bphs-ch20-v2-20260415,33,21,1,11,0,3%
Brihat Parashara Hora Shastra,13,bphs-ch13-v2-20260414,32,22,0,10,0,0%
Brihat Parashara Hora Shastra,21,bphs-ch21-v2-20260415,28,18,2,8,0,7%
Brihat Parashara Hora Shastra,19,bphs-ch19-v2-20260415,21,7,4,10,0,19%
Brihat Parashara Hora Shastra,23,bphs-ch23-v2-20260415,21,14,2,5,0,10%
Lal Kitab,Jupiter And The Effect Of,lal-kitab_013_20260413,21,1,2,2,16,10%
Brihat Parashara Hora Shastra,15,bphs-ch15-v2-20260414,20,5,5,10,0,25%
Longevity and Astro System,General,longevity-and-astro_001_20260413 | longevity-and-astro_002_20260413 | longevity-and-astro_004_20260413 | longevity-and-astro_008_20260413 | longevity-and-astro_015_20260413 | longevity-and-astro_028_20260413 | longevity-and-astro_032_20260413 | longevity-and-astro_037_20260413 | longevity-and-astro_038_20260413 | longevity-and-astro_043_20260413 | longevity-and-astro_047_20260413 | longevity-and-astro_049_20260413,20,0,20,0,0,100%
Brihat Parashara Hora Shastra,Errata 483,brihat-parashara-hor_001_20260413,19,2,12,5,0,63%
Brihat Parashara Hora Shastra,14 54,brihat-parashara-hor_001_20260413,19,4,12,3,0,63%
Lal Kitab,Lal Kitab And,lal-kitab_006_20260413 | lal-kitab_008_20260413,19,2,5,2,10,26%
Lal Kitab,Mercury And The Effect Of,lal-kitab_012_20260413,18,2,3,1,12,17%
Brihat Parashara Hora Shastra,12,bphs-ch12-v2-20260414,17,7,4,6,0,24%
Lal Kitab,Ketu And The Effect Of,lal-kitab_017_20260413,17,0,2,0,15,12%
Brihat Parashara Hora Shastra,22,bphs-ch22-v2-20260415,16,10,1,5,0,6%
Lal Kitab,Saturn And The Effect Of,lal-kitab_015_20260413,16,0,2,0,14,12%
Lal Kitab,Venus And Effect Of,lal-kitab_014_20260413,15,0,2,0,13,13%
Phaladeepika,"Phaladeepika, Chapter 26",phaladeepika_001_20260413,15,1,11,3,0,73%
Lal Kitab,Mars And The Effect Of,lal-kitab_011_20260413,13,0,2,0,11,15%
Lal Kitab,Planetary Dosh (Evil Effects),lal-kitab_025_20260413,11,0,2,0,9,18%
A Book of 300 Important Horoscopes Vol-I,General,a-book-of-300-import_002_20260413 | a-book-of-300-import_004_20260413 | a-book-of-300-import_005_20260413 | a-book-of-300-import_007_20260413 | a-book-of-300-import_012_20260413 | a-book-of-300-import_015_20260413 | a-book-of-300-import_017_20260413,9,0,9,0,0,100%
Lal Kitab,Moon And The Effect Of,lal-kitab_010_20260413,8,0,2,0,6,25%
Brihat Parashara Hora Shastra,22 36,brihat-parashara-hor_001_20260413,7,1,5,1,0,71%
Lal Kitab,3 11,lal-kitab_009_20260413,7,2,1,0,4,14%
Lal Kitab,Sun And The Effect Of,lal-kitab_009_20260413,6,0,1,0,5,17%
300 Important Combinations,Appendix I,300-important-combin_001_20260413,5,0,4,1,0,80%
Longevity and Astro System,Signification Table,longevity-and-astro_039_20260413 | longevity-and-astro_050_20260413,5,0,5,0,0,100%
Longevity and Astro System,Placidus Cusp Chart,longevity-and-astro_040_20260413 | longevity-and-astro_042_20260413 | longevity-and-astro_048_20260413,5,0,5,0,0,100%
300 Important Combinations,219 208,300-important-combin_001_20260413,4,0,2,1,1,50%
Brihat Parashara Hora Shastra,147:30 2 50,brihat-parashara-hor_001_20260413,4,0,3,1,0,75%
Brihat Parashara Hora Shastra,12 26,brihat-parashara-hor_001_20260413,4,0,3,1,0,75%
A Book of 300 Important Horoscopes Vol-I,A Book Of 300 Important Horocopes (V0L-I)-P-1 Mkviswanath Nair,a-book-of-300-import_010_20260413 | a-book-of-300-import_011_20260413,3,0,3,0,0,100%
Lal Kitab,Daywise Remedies (Totaka),lal-kitab_026_20260413,3,0,1,0,2,33%
Longevity and Astro System,Vrishbha Lagna Or Taurus,longevity-and-astro_005_20260413,3,0,3,0,0,100%
Longevity and Astro System,Muthun Lagna Or Gemini,longevity-and-astro_006_20260413,3,0,2,1,0,67%
Longevity and Astro System,Katak Lagna Or Cancer,longevity-and-astro_007_20260413,3,0,3,0,0,100%
