rule_id,book,chapter,batch_id,condition_type,planet,house,flag_reason,interpretation_summary,claude_recommendation,claude_reasoning,suggested_edit,final_action
R-BPHS56-PATCH-34CC52-GRP,,56,bphs-ch56-dasha-20260418,dasha_planet,,,Summary and detailed text are truncated/incomplete ('Sun in exaltation during Jupiter Mahadash' cuts off mid-word); cannot evaluate full interpretation coherence.,"Sun in exaltation, own sign, kendra, trikona, 3rd, 11th, or 2nd from Ascendant and endowed with strength; Sun in own sign during Jupiter Mahadasha; Sun in kendra during Jupiter Mahadasha; Sun in trikona during Jupiter Mahadasha; Sun in 3rd house during Jupiter Mahadasha; Sun in 11th house during Jupiter Mahadasha; Sun in 2nd house during Jupiter Mahadasha; Sun in exaltation during Jupiter Mahadasha → Gain of wealth, reverence, happiness, acquisition of conveyances, clothes, ornaments, birt...; Gain of wealth, reverence, happiness, conveyances, clothes, ornaments, children, cordial relations with government, success in ventures.",needs_edit,The interpretation text is truncated mid-word ('birt...') making it impossible to validate complete coherence and accuracy; the rule itself is logically sound but the data must be restored to full text before approval.,"Complete the truncated interpretation text by restoring the full sentence that begins 'Gain of wealth, reverence, happiness, acquisition of conveyances, clothes, ornaments, birt...' — likely should read 'birth of children' or similar completion. Verify both interpretation outcomes are fully spelled out without ellipsis or cutoff.",
R-BPHS57-PATCH-4B17E8-GF,,57,bphs-ch57-dasha-20260419,,,2,"Rule conflates Mercury as 2nd lord with Mercury as antardasha planet; BPHS Ch.57 addresses antardasha planet placement relative to dasha lord, not natal house lordship. The condition and interpretation are misaligned.",Mercury is Lord of the 2nd house from Ascendant during Saturn Mahadasha → Physical distress occurs.,needs_edit,"Rule conflates natal 2nd house lordship with antardasha planet function; BPHS Ch.57 analyzes antardasha planet placement relative to dasha lord, not static house lordship.","Reframe condition to specify Mercury as antardasha planet (not 2nd lord) during Saturn Mahadasha, and clarify interpretation based on Mercury's relationship to Saturn (conjunction, aspect, dignity) rather than Mercury's natal house lordship.",
R-BPHS57-PATCH-5F5F3B-GF,,57,bphs-ch57-dasha-20260419,,,2,Rule states 'Venus is Lord of 2nd house' but condition specifies 'antardasha_planet: Venus' during Saturn Mahadasha; the interpretation 'Physical distress occurs' is vague and lacks classical textual grounding for this specific planetary combination.,Venus is Lord of the 2nd house from Ascendant during Saturn Mahadasha → Physical distress occurs.,needs_edit,"Interpretation is overly generic and lacks classical textual support for this specific planetary combination; Venus as 2nd lord and Saturn Mahadasha typically govern wealth/values, not physical distress.","Either (a) replace 'Physical distress' with outcome aligned to Venus (2nd lord) + Saturn (wealth/longevity themes), or (b) remove if no BPHS sloka supports this combination; cite source sloka.",
R-BPHS57-PATCH-60E6E0-GF,,57,bphs-ch57-dasha-20260419,,,7,"Mercury as 7th lord during Saturn Mahadasha producing 'Physical distress' is generic and lacks classical support; 7th lord typically governs partnership/marriage, not general physical distress.",Mercury is Lord of the 7th house from Ascendant during Saturn Mahadasha → Physical distress occurs.,deprecate,"Mercury as 7th lord produces partnership/marriage outcomes, not physical distress; interpretation lacks classical grounding and contradicts standard 7th house significations in Vedic astrology.",,
R-BPHS57-PATCH-92F798-GF,,57,bphs-ch57-dasha-20260419,,,2,Condition specifies Ketu in 2nd from Ascendant but antardasha_planet is Ketu during Saturn Mahadasha—this is inconsistent with standard dasha structure (Ketu cannot be antardasha lord under Saturn Mahadasha in classical BPHS). Detailed field is empty. Requires source verification.,Ketu in the 2nd house from Ascendant during Saturn Mahadasha → Physical distress.,deprecate,"Condition is structurally invalid: Ketu cannot function as antardasha lord under Saturn Mahadasha in classical Vimsottari Dasha; natal Ketu placement and antardasha planet are conflated, and empty detailed field prevents verification.",,
R-BPHS57-PATCH-DE1D14-GF,,57,bphs-ch57-dasha-20260419,,,7,Detailed field is empty; summary is vague and lacks specificity on what 'physical distress' manifests; condition structure is non-standard (missing 'type' field); insufficient information to validate against BPHS sloka.,Venus is Lord of the 7th house from Ascendant during Saturn Mahadasha → Physical distress occurs.,deprecate,"Multiple critical defects: empty detailed field, vague interpretation, non-standard condition structure (missing type/sloka fields), and insufficient information to validate against BPHS source material.",,
R-BPHS57-PATCH-F0541B-GF,,57,bphs-ch57-dasha-20260419,,,,Condition structure is malformed (missing 'type' and 'sloka' fields); detailed interpretation is empty; 'gap_fill_direct' method is non-standard and unverifiable against classical sources.,"Rahu in favourable condition during middle portion of Rahu Antardasha in Saturn Mahadasha → Cordial relations with government officials, increase in trade and other auspicious activities.",deprecate,"Malformed structure (missing type and sloka fields), empty detailed field, non-standard 'gap_fill_direct' method, and unverifiable against classical BPHS sources; requires complete reconstruction.",,
R-300IMP-GEN-168,300 Important Combinations,219 208,300-important-combin_001_20260413,composite,,,"Text is truncated and vague; makes unfounded claim about 3rd, 6th, 9th, 12th houses indicating misfortune without classical basis, then trails off incompletely.","In the realm of astrology, certain configurations within a natal chart may reveal the presence of unseen forces that govern fortune and luck. The analysis of houses, particularly the third, sixth, ninth, and twelfth, can indicate periods of misfortune when certain planetary combinations are present. The distance between the sign and its lord, akin to the lord's distance from the relevant house, plays a crucial role in this interpretation. Additionally, the combust state of planets can influence longevity and the dynamics of fortune, potentially leading to outcomes such as infant mortality. The strength of a house, represented in the house diagram, serves as a junction point between adjacent houses or bhavas, revealing deeper insights into one's astrological profile. Mars, as an indicator of siblings, and the interplay of Mercury with the Sun, alongside the Moon and its sign, further enrich this astrological tapestry, particularly when examining the Moon-Mars combination and the characteristics of movable signs.",deprecate,"The rule is incoherent, poorly structured, makes unsupported generalizations about 3rd/6th/9th/12th houses causing misfortune without classical citation, conflates multiple unrelated concepts (house lords, combustion, infant mortality, Moon-Mars combinations), and trails off incompletely, rendering it non-actionable as a coherent interpretation principle.",,
R-300IMP-GEN-170,300 Important Combinations,219 208,300-important-combin_001_20260413,composite,,,"Detailed text is truncated mid-sentence ('strengt'); also the statement about 'Ascendant lord, which in this case is Aquarius' is vague and context-dependent, making it incoherent as a general rule.","This astrological configuration suggests that afflictions may arise from the ownership of a quadrant, particularly in relation to the Ascendant lord, which in this case is Aquarius. The presence of Saturn, as a secondary planet, indicates potential challenges associated with mortality. The signs of Pisces, Aries, and Gemini are also highlighted, each contributing to themes of salvation and strength derived from planetary placements across various divisions. A sensitive point within a sign may reflect natural strength, particularly in the 119th division, while considerations of debilitation and its cancellation are pertinent. The analysis involves the fixed zodiac and emphasizes the significance of the 2nd, 5th, 8th, and 11th signs, revealing a special combination that denotes valor and the exchange of places. Additionally, a planet residing within its own vargas thrice is noted, with the Sun serving as an indicator of paternal influence and affairs.",deprecate,"The rule is fundamentally flawed: it contains a truncated word ('strengt'), makes context-dependent assertions presented as universal (e.g., 'Ascendant lord, which in this case is Aquarius' cannot apply generically), references undefined divisions (119th), jumps between unrelated concepts, and lacks sufficient coherence to serve as a valid interpretive guideline.",,
R-300IMP-GEN-164,300 Important Combinations,Appendix I,300-important-combin_001_20260413,composite,,,Summary and detailed text are truncated mid-word ('12t' and 'adv'); incomplete statement prevents coherent evaluation.,"In the analysis of Kalasarpa yoga, one must pay heed to the houses that are primarily engaged, such as the 1st and 7th, 2nd and 8th, 3rd and 9th, 4th and 10th, 5th and 11th, as well as the 6th and 12th. The outcomes may vary significantly based on various other astrological elements. Typically, the 6th-12th axis associated with Kalasarpa yoga may suggest experiences of confinement or spiritual advancement, contingent upon the presence of potent Bandhana Yogas. When this axis pertains to the 1st and 7th houses, it tends to be unfavorable for marital bliss, potentially leading to a relationship fraught with discord and a lack of mutual understanding. However, should the 7th lord or Venus be favorably positioned and in harmony, the adverse effects may be mitigated, allowing for the avoidance of marital strife. By comprehending the implications of this yoga in advance, one may cultivate a more thoughtful and understanding approach to their interactions.",needs_edit,"The interpretation itself is coherent and substantive regarding Kalasarpa yoga axis variations and marital implications, but the flag indicates truncation in summary/metadata fields ('12t' and 'adv') that prevent full validation of the complete rule entry.",Restore the truncated summary and detailed text headers to their complete form; the interpretation body appears intact and usable.,
